order_id,customer_id,order_date
98,30,2026-01-24
99,76,2025-12-19
100,29,2025-10-19
101,1,2025-09-12
102,10,2026-03-28
103,91,2026-04-10
104,81,2025-07-19
105,8,2026-06-28
106,30,2026-05-04
107,9,2026-06-16
108,5,2026-05-12
109,43,2026-06-25
110,10,2025-08-27
111,66,2026-05-15
112,31,2025-12-29
113,36,2025-10-09
114,86,2025-09-23
115,63,2026-05-25
116,28,2026-04-13
117,70,2026-02-03
118,17,2026-01-13
119,93,2025-08-05
120,74,2026-02-18
121,74,2025-10-21
122,61,2026-07-08
123,32,2026-06-11
124,61,2025-09-02
125,53,2026-01-10
126,25,2025-09-06
127,13,2026-05-24
128,13,2026-01-13
129,85,2026-04-02
130,56,2026-02-08
131,46,2026-02-19
132,55,2026-03-05
133,53,2025-11-17
134,60,2026-05-06
135,94,2026-06-28
136,7,2026-01-04
137,87,2026-03-11
138,84,2026-05-29
139,83,2026-04-22
140,13,2026-06-28
141,8,2026-01-29
142,52,2025-12-29
143,94,2026-06-04
144,44,2026-07-04
145,14,2026-02-14
146,32,2026-01-06
147,25,2026-06-30
148,25,2025-09-16
149,69,2026-05-01
150,58,2026-06-16
151,18,2026-01-17
152,55,2026-01-07
153,24,2025-10-25
154,36,2026-05-04
155,60,2025-10-21
156,32,2026-06-08
157,10,2026-03-21
158,57,2025-11-01
159,71,2026-05-10
160,13,2026-05-15
161,7,2026-02-04
162,84,2026-01-21
163,70,2026-03-17
164,2,2025-10-17
165,12,2025-10-31
166,97,2026-01-03
167,31,2025-08-16
168,22,2026-04-20
169,53,2025-11-04
170,63,2025-10-16
171,62,2025-10-30
172,28,2025-11-24
173,52,2025-11-18
174,8,2026-06-28
175,22,2026-02-11
176,49,2025-08-17
177,1,2025-09-08
178,50,2025-09-13
179,34,2025-10-14
180,59,2025-12-12
181,37,2026-04-12
182,55,2025-09-14
183,90,2026-04-17
184,94,2025-10-08
185,72,2025-08-10
186,85,2025-12-25
187,92,2025-12-22
188,63,2025-11-22
189,20,2026-02-12
190,25,2026-01-13
191,38,2025-12-25
192,28,2025-08-10
193,8,2025-10-05
194,75,2026-06-05
195,95,2025-12-27
196,70,2025-12-15
197,8,2026-07-03
198,96,2026-05-11
199,41,2026-02-28
200,8,2026-04-13
201,7,2025-07-24
202,75,2026-06-14
203,62,2026-06-24
204,65,2026-05-10
205,68,2026-02-25
206,21,2025-12-11
207,8,2026-01-18
208,66,2025-07-19
209,11,2025-11-30
210,24,2025-11-09
211,9,2026-05-05
212,77,2025-12-15
213,9,2026-06-13
214,87,2026-06-28
215,31,2026-06-06
216,52,2025-12-26
217,16,2026-02-11
218,73,2026-05-03
219,32,2026-04-28
220,75,2026-02-14
221,77,2026-05-23
222,6,2026-03-08
223,80,2026-06-30
224,11,2025-10-10
225,54,2026-01-22
226,85,2025-10-10
227,75,2025-10-30
228,73,2026-01-02
229,67,2026-01-21
230,41,2025-07-28
231,34,2025-12-15
232,27,2025-11-24
233,86,2026-04-02
234,92,2026-04-06
235,41,2026-05-22
236,31,2025-12-21
237,34,2026-04-24
238,51,2025-09-19
239,17,2026-06-08
240,86,2026-01-14
241,83,2026-07-09
242,39,2025-09-04
243,59,2026-03-15
244,41,2026-02-09
245,97,2025-07-27
246,10,2026-07-04
247,2,2025-12-17
248,59,2026-03-03
249,80,2026-02-21
250,73,2026-03-31
251,13,2025-07-27
252,10,2025-08-18
253,69,2026-03-23
254,28,2025-12-30
255,65,2025-09-07
256,34,2026-06-18
257,17,2026-01-12
258,45,2025-09-25
259,9,2025-08-05
260,32,2025-10-26
261,48,2025-12-11
262,37,2025-11-21
263,21,2025-10-07
264,57,2026-01-09
265,70,2025-11-20
266,91,2025-11-25
267,39,2026-05-08
268,79,2026-06-23
269,84,2025-12-11
270,68,2025-11-02
271,2,2026-05-05
272,86,2026-06-05
273,71,2025-12-27
274,39,2025-10-22
275,85,2026-06-06
276,14,2025-08-17
277,18,2026-01-15
278,34,2025-07-24
279,15,2026-05-03
280,14,2026-02-11
281,96,2025-08-06
282,71,2025-11-29
283,20,2025-10-12
284,35,2026-03-26
285,37,2025-08-12
286,78,2026-05-16
287,27,2026-03-27
288,92,2025-08-01
289,44,2026-05-05
290,27,2025-07-29
291,88,2025-10-21
292,82,2025-10-02
293,34,2026-06-07
294,65,2025-07-24
295,63,2026-03-15
296,33,2025-09-14
297,7,2025-10-17
298,12,2025-09-04
299,82,2026-01-16
300,55,2026-04-02
301,36,2025-08-30
302,6,2026-02-21
303,1,2025-10-09
304,43,2026-01-13
305,99,2026-04-14
306,17,2025-10-24
307,82,2026-05-10
308,34,2025-12-07
309,21,2025-09-20
310,95,2026-03-09
311,57,2026-03-09
312,71,2026-05-03
313,91,2026-04-21
314,55,2025-08-30
315,72,2026-05-15
316,2,2026-05-31
317,15,2025-09-18
318,10,2025-11-14
319,89,2025-08-27
320,20,2026-02-26
321,70,2025-07-26
322,5,2026-07-12
323,48,2025-11-15
324,75,2026-02-25
325,71,2026-04-06
326,19,2026-07-04
327,56,2025-12-09
328,17,2025-12-18
329,6,2026-07-17
330,40,2026-04-20
331,47,2025-10-02
332,6,2025-08-15
333,46,2026-03-03
334,27,2026-04-11
335,88,2026-06-04
336,32,2026-03-17
337,86,2025-10-19
338,14,2025-08-25
339,46,2026-04-13
340,100,2026-05-13
341,72,2025-11-11
342,53,2026-06-12
343,80,2026-04-08
344,96,2026-03-07
345,20,2026-05-25
346,31,2025-09-02
347,21,2026-05-22
348,23,2026-02-21
349,53,2026-05-16
350,4,2025-08-01
351,23,2025-11-28
352,95,2026-02-08
353,43,2025-12-30
354,53,2026-03-30
355,86,2025-12-07
356,95,2025-08-12
357,32,2026-01-29
358,35,2026-03-25
359,21,2025-11-26
360,90,2025-07-21
361,14,2026-06-11
362,49,2025-12-27
363,5,2026-06-01
364,61,2026-01-23
365,29,2025-08-26
366,26,2026-01-01
367,59,2025-12-04
368,45,2026-03-20
369,40,2026-06-28
370,30,2026-06-03
371,29,2026-01-11
372,4,2026-04-17
373,85,2025-09-14
374,25,2026-01-02
375,52,2025-09-23
376,43,2026-04-27
377,36,2026-02-04
378,9,2026-03-26
379,99,2025-10-29
380,36,2026-03-13
381,45,2026-05-26
382,83,2026-07-09
383,66,2026-02-11
384,52,2026-05-13
385,87,2026-01-20
386,69,2026-01-13
387,43,2026-01-02
388,4,2026-06-02
389,15,2026-04-26
390,34,2026-03-04
391,23,2025-10-29
392,75,2025-11-19
393,34,2026-06-12
394,5,2025-10-20
395,14,2026-06-04
396,77,2026-07-14
397,56,2025-08-19
398,45,2025-11-02
399,94,2026-06-24
400,41,2026-01-08
401,56,2025-10-19
402,78,2026-05-04
403,66,2026-01-13
404,15,2026-02-23
405,50,2026-03-11
406,74,2026-04-02
407,25,2025-12-11
408,33,2025-11-24
409,6,2025-07-28
410,91,2026-01-24
411,56,2026-06-12
412,1,2025-11-20
413,67,2025-09-25
414,69,2026-01-22
415,88,2025-10-07
416,93,2025-12-01
417,95,2026-05-22
418,95,2025-10-25
419,86,2025-11-26
420,26,2025-11-02
421,47,2026-06-23
422,56,2026-03-05
423,9,2026-04-15
424,86,2026-06-23
425,43,2025-11-01
426,80,2026-02-17
427,41,2025-07-20
428,85,2026-02-02
429,16,2025-09-29
430,93,2025-08-19
431,39,2025-10-18
432,65,2026-04-22
433,40,2025-12-21
434,86,2026-01-22
435,53,2026-02-17
436,42,2026-05-07
437,52,2025-10-18
438,90,2026-04-11
439,38,2026-01-17
440,71,2026-03-24
441,17,2026-04-19
442,25,2026-01-23
443,54,2026-01-07
444,86,2026-05-20
445,49,2025-07-23
446,87,2025-08-22
447,96,2025-11-08
448,23,2025-10-11
449,79,2025-12-21
450,73,2026-04-11
451,39,2025-10-19
452,52,2025-11-12
453,71,2026-03-31
454,1,2026-02-27
455,39,2025-12-07
456,37,2026-01-16
457,27,2026-02-16
458,56,2026-02-08
459,75,2025-11-27
460,78,2025-12-29
461,84,2026-05-02
462,42,2026-02-15
463,60,2025-11-22
464,57,2025-11-30
465,57,2026-04-15
466,87,2026-01-09
467,28,2025-10-30
468,66,2025-11-13
469,61,2025-10-22
470,95,2025-10-14
471,22,2025-09-01
472,85,2026-04-23
473,11,2025-09-29
474,37,2025-11-16
475,66,2025-09-01
476,85,2026-05-01
477,82,2026-02-10
478,80,2026-05-09
479,43,2026-04-11
480,12,2025-09-26
481,97,2025-09-29
482,31,2025-10-09
483,87,2026-04-29
484,40,2026-01-21
485,29,2025-11-01
486,26,2026-04-24
487,19,2026-03-02
488,4,2026-05-08
489,6,2026-02-05
490,32,2026-03-05
491,61,2025-11-03
492,79,2025-08-25
493,99,2026-06-05
494,10,2025-09-30
495,59,2025-11-09
496,54,2025-10-13
497,81,2025-12-04
498,74,2025-09-24
499,25,2025-11-11
500,92,2025-07-22
